eco	name	pgn	uci	epd
C40	King's Knight Opening	1. e4 e5 2. Nf3	e2e4 e7e5 g1f3	rnbqkbnr/pppp1ppp/8/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq -
C23	Bishop's Opening	1. e4 e5 2. Bc4	e2e4 e7e5 f1c4	rnbqkbnr/pppp1ppp/8/4p3/2B1P3/8/PPPP1PPP/RNBQK1NR b KQkq -
C21	Danish Gambit Accepted	1. e4 e5 2. d4 exd4 3. c3 dxc3	e2e4 e7e5 d2d4 e5d4 c2c3 d4c3	rnbqkbnr/pppp1ppp/8/8/4P3/2p5/PP3PPP/RNBQKBNR w KQkq -
B02	Alekhine Defense	1. e4 Nf6	e2e4 g8f6	rnbqkb1r/pppppppp/5n2/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq -
B00	Lemming Defense	1. e4 Na6	e2e4 b8a6	r1bqkbnr/pppppppp/n7/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq -
B00	Hippopotamus Defense	1. e4 Nh6	e2e4 g8h6	rnbqkb1r/pppppppp/7n/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq -
A48	East Indian Defense	1. d4 Nf6 2. Nf3 g6	d2d4 g8f6 g1f3 g7g6	rnbqkb1r/pppppp1p/5np1/8/3P4/5N2/PPP1PPPP/RNBQKB1R w KQkq -
A40	Kangaroo Defense	1. d4 e6 2. c4 Bb4+	d2d4 e7e6 c2c4 f8b4	rnbqk1nr/pppp1ppp/4p3/8/1bPP4/8/PP2PPPP/RNBQKBNR w KQkq -
A00	Global Opening	1. h3 e5 2. a3	h2h3 e7e5 a2a3	rnbqkbnr/pppp1ppp/8/4p3/8/P6P/1PPPPPP1/RNBQKBNR b KQkq -
E11	Bogo-Indian Defense	1. d4 Nf6 2. c4 e6 3. Nf3 Bb4+	d2d4 g8f6 c2c4 e7e6 g1f3 f8b4	rnbqk2r/pppp1ppp/4pn2/8/1bPP4/5N2/PP2PPPP/RNBQKB1R w KQkq -
C41	Philidor Defense	1. e4 e5 2. Nf3 d6	e2e4 e7e5 g1f3 d7d6	rnbqkbnr/ppp2ppp/3p4/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq -
C40	Latvian Gambit Accepted	1. e4 e5 2. Nf3 f5 3. exf5	e2e4 e7e5 g1f3 f7f5 e4f5	rnbqkbnr/pppp2pp/8/4pP2/8/5N2/PPPP1PPP/RNBQKB1R b KQkq -
C00	French Defense	1. e4 e6	e2e4 e7e6	rnbqkbnr/pppp1ppp/4p3/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq -
B00	Carr Defense	1. e4 h6	e2e4 h7h6	rnbqkbnr/ppppppp1/7p/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq -
A56	Vulture Defense	1. d4 Nf6 2. c4 c5 3. d5 Ne4	d2d4 g8f6 c2c4 c7c5 d4d5 f6e4	rnbqkb1r/pp1ppppp/8/2pP4/2P1n3/8/PP2PPPP/RNBQKBNR w KQkq -
A47	Pseudo Queen's Indian Defense	1. d4 Nf6 2. Nf3 b6	d2d4 g8f6 g1f3 b7b6	rnbqkb1r/p1pppppp/1p3n2/8/3P4/5N2/PPP1PPPP/RNBQKB1R w KQkq -
A47	Marienbad System	1. d4 Nf6 2. Nf3 b6 3. g3 Bb7 4. Bg2 c5	d2d4 g8f6 g1f3 b7b6 g2g3 c8b7 f1g2 c7c5	rn1qkb1r/pb1ppppp/1p3n2/2p5/3P4/5NP1/PPP1PPBP/RNBQK2R w KQkq -
B06	Modern Defense	1. e4 g6	e2e4 g7g6	rnbqkbnr/pppppp1p/6p1/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq -
A00	Ware Opening	1. a4	a2a4	rnbqkbnr/pppppppp/8/8/P7/8/1PPPPPPP/RNBQKBNR b KQkq -
A00	Mieses Opening	1. d3	d2d3	rnbqkbnr/pppppppp/8/8/8/3P4/PPP1PPPP/RNBQKBNR b KQkq -
A00	Grob Opening	1. g4	g2g4	rnbqkbnr/pppppppp/8/8/6P1/8/PPPPPP1P/RNBQKBNR b KQkq -
B10	Caro-Kann Defense	1. e4 c6	e2e4 c7c6	rnbqkbnr/pp1ppppp/2p5/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq -
B00	Borg Defense	1. e4 g5	e2e4 g7g5	rnbqkbnr/pppppp1p/8/6p1/4P3/8/PPPP1PPP/RNBQKBNR w KQkq -
A80	Dutch Defense	1. d4 f5	d2d4 f7f5	rnbqkbnr/ppppp1pp/8/5p2/3P4/8/PPP1PPPP/RNBQKBNR w KQkq -
A00	Polish Opening, with d5	1. b4 d5	b2b4 d7d5	rnbqkbnr/ppp1pppp/8/3p4/1P6/8/P1PPPPPP/RNBQKBNR w KQkq -
A00	Barnes Opening	1. f3	f2f3	rnbqkbnr/pppppppp/8/8/8/5P2/PPPPP1PP/RNBQKBNR b KQkq -
A00	Amsterdam Attack	1. e3 e5 2. c4 d6 3. Nc3 Nc6 4. b3 Nf6	e2e3 e7e5 c2c4 d7d6 b1c3 b8c6 b2b3 g8f6	r1bqkb1r/ppp2ppp/2np1n2/4p3/2P5/1PN1P3/P2P1PPP/R1BQKBNR w KQkq -
D01	Richter-Veresov Attack	1. d4 Nf6 2. Nc3 d5 3. Bg5	d2d4 g8f6 b1c3 d7d5 c1g5	rnbqkb1r/ppp1pppp/5n2/3p2B1/3P4/2N5/PPP1PPPP/R2QKBNR b KQkq -
D00	Blackmar-Diemer Gambit	1. d4 d5 2. e4	d2d4 d7d5 e2e4	rnbqkbnr/ppp1pppp/8/3p4/3PP3/8/PPP2PPP/RNBQKBNR b KQkq -
C44	Scotch Game	1. e4 e5 2. Nf3 Nc6 3. d4	e2e4 e7e5 g1f3 b8c6 d2d4	r1bqkbnr/pppp1ppp/2n5/4p3/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq -
C44	Ponziani Opening	1. e4 e5 2. Nf3 Nc6 3. c3	e2e4 e7e5 g1f3 b8c6 c2c3	r1bqkbnr/pppp1ppp/2n5/4p3/4P3/2P2N2/PP1P1PPP/RNBQKB1R b KQkq -
C21	Center Game Accepted	1. e4 e5 2. d4 exd4	e2e4 e7e5 d2d4 e5d4	rnbqkbnr/pppp1ppp/8/8/3pP3/8/PPP2PPP/RNBQKBNR w KQkq -
A50	Mexican Defense	1. d4 Nf6 2. c4 Nc6	d2d4 g8f6 c2c4 b8c6	r1bqkb1r/pppppppp/2n2n2/8/2PP4/8/PP2PPPP/RNBQKBNR w KQkq -
A45	Paleface Attack	1. d4 Nf6 2. f3	d2d4 g8f6 f2f3	rnbqkb1r/pppppppp/5n2/8/3P4/5P2/PPP1P1PP/RNBQKBNR b KQkq -
A02	Bird Opening	1. f4	f2f4	rnbqkbnr/pppppppp/8/8/5P2/8/PPPPP1PP/RNBQKBNR b KQkq -
A00	Kádas Opening	1. h4	h2h4	rnbqkbnr/pppppppp/8/8/7P/8/PPPPPPP1/RNBQKBNR b KQkq -
C60	Ruy Lopez	1. e4 e5 2. Nf3 Nc6 3. Bb5	e2e4 e7e5 g1f3 b8c6 f1b5	r1bqkbnr/pppp1ppp/2n5/1B2p3/4P3/5N2/PPPP1PPP/RNBQK2R b KQkq -
C47	Four Knights Game	1. e4 e5 2. Nf3 Nc6 3. Nc3 Nf6	e2e4 e7e5 g1f3 b8c6 b1c3 g8f6	r1bqkb1r/pppp1ppp/2n2n2/4p3/4P3/2N2N2/PPPP1PPP/R1BQKB1R w KQkq -
C30	King's Gambit	1. e4 e5 2. f4	e2e4 e7e5 f2f4	rnbqkbnr/pppp1ppp/8/4p3/4PP2/8/PPPP2PP/RNBQKBNR b KQkq -
B00	Ware Defense	1. e4 a5	e2e4 a7a5	rnbqkbnr/1ppppppp/8/p7/4P3/8/PPPP1PPP/RNBQKBNR w KQkq -
A57	Benko Gambit	1. d4 Nf6 2. c4 c5 3. d5 b5	d2d4 g8f6 c2c4 c7c5 d4d5 b7b5	rnbqkb1r/p2ppppp/5n2/1ppP4/2P5/8/PP2PPPP/RNBQKBNR w KQkq -
A46	Yusupov-Rubinstein System	1. d4 Nf6 2. Nf3 e6 3. e3	d2d4 g8f6 g1f3 e7e6 e2e3	rnbqkb1r/pppp1ppp/4pn2/8/3P4/4PN2/PPP2PPP/RNBQKB1R b KQkq -
A42	Pterodactyl Defense	1. Nf3 c5 2. c4 g6 3. d4 Bg7 4. e4 Qa5+ 5. Nc3 d6	g1f3 c7c5 c2c4 g7g6 d2d4 f8g7 e2e4 d8a5 b1c3 d7d6	rnb1k1nr/pp2ppbp/3p2p1/q1p5/2PPP3/2N2N2/PP3PPP/R1BQKB1R w KQkq -
A40	Zaire Defense	1. d4 Nc6 2. d5 Nb8 3. e4 Nf6 4. e5 Ng8	d2d4 b8c6 d4d5 c6b8 e2e4 g8f6 e4e5 f6g8	rnbqkbnr/pppppppp/8/3PP3/8/8/PPP2PPP/RNBQKBNR w KQkq -
A40	Mikenas Defense	1. d4 Nc6	d2d4 b8c6	r1bqkbnr/pppppppp/2n5/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq -
A40	Englund Gambit	1. d4 e5	d2d4 e7e5	rnbqkbnr/pppp1ppp/8/4p3/3P4/8/PPP1PPPP/RNBQKBNR w KQkq -
A00	Van't Kruijs Opening	1. e3	e2e3	rnbqkbnr/pppppppp/8/8/8/4P3/PPPP1PPP/RNBQKBNR b KQkq -
A00	Hungarian Opening	1. g3	g2g3	rnbqkbnr/pppppppp/8/8/8/6P1/PPPPPP1P/RNBQKBNR b KQkq -
A00	Clemenz Opening	1. h3	h2h3	rnbqkbnr/pppppppp/8/8/8/7P/PPPPPPP1/RNBQKBNR b KQkq -
A00	Anderssen's Opening	1. a3	a2a3	rnbqkbnr/pppppppp/8/8/8/P7/1PPPPPPP/RNBQKBNR b KQkq -
E10	Blumenfeld Countergambit Accepted	1. d4 Nf6 2. c4 e6 3. Nf3 c5 4. d5 b5 5. dxe6 fxe6 6. cxb5 d5	d2d4 g8f6 c2c4 e7e6 g1f3 c7c5 d4d5 b7b5 d5e6 f7e6 c4b5 d7d5	rnbqkb1r/p5pp/4pn2/1Ppp4/8/5N2/PP2PPPP/RNBQKB1R w KQkq -
D06	Queen's Gambit	1. d4 d5 2. c4	d2d4 d7d5 c2c4	rnbqkbnr/ppp1pppp/8/3p4/2PP4/8/PP2PPPP/RNBQKBNR b KQkq -
D05	Rubinstein Opening	1. d4 Nf6 2. Nf3 e6 3. e3 c5 4. Bd3 d5 5. b3	d2d4 g8f6 g1f3 e7e6 e2e3 c7c5 f1d3 d7d5 b2b3	rnbqkb1r/pp3ppp/4pn2/2pp4/3P4/1P1BPN2/P1P2PPP/RNBQK2R b KQkq -
C33	King's Gambit Accepted	1. e4 e5 2. f4 exf4	e2e4 e7e5 f2f4 e5f4	rnbqkbnr/pppp1ppp/8/8/4Pp2/8/PPPP2PP/RNBQKBNR w KQkq -
B00	Barnes Defense	1. e4 f6	e2e4 f7f6	rnbqkbnr/ppppp1pp/5p2/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq -
A15	English Orangutan	1. c4 Nf6 2. b4	c2c4 g8f6 b2b4	rnbqkb1r/pppppppp/5n2/8/1PP5/8/P2PPPPP/RNBQKBNR b KQkq -
A00	Saragossa Opening	1. c3	c2c3	rnbqkbnr/pppppppp/8/8/8/2P5/PP1PPPPP/RNBQKBNR b KQkq -
E00	Catalan Opening	1. d4 Nf6 2. c4 e6 3. g3	d2d4 g8f6 c2c4 e7e6 g2g3	rnbqkb1r/pppp1ppp/4pn2/8/2PP4/6P1/PP2PP1P/RNBQKBNR b KQkq -
D43	Semi-Slav Defense	1. d4 d5 2. c4 c6 3. Nf3 Nf6 4. Nc3 e6	d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 e7e6	rnbqkb1r/pp3ppp/2p1pn2/3p4/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq -
C46	Three Knights Opening	1. e4 e5 2. Nf3 Nc6 3. Nc3	e2e4 e7e5 g1f3 b8c6 b1c3	r1bqkbnr/pppp1ppp/2n5/4p3/4P3/2N2N2/PPPP1PPP/R1BQKB1R b KQkq -
C42	Petrov's Defense	1. e4 e5 2. Nf3 Nf6	e2e4 e7e5 g1f3 g8f6	rnbqkb1r/pppp1ppp/5n2/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq -
A48	London System	1. d4 Nf6 2. Nf3 g6 3. Bf4	d2d4 g8f6 g1f3 g7g6 c1f4	rnbqkb1r/pppppp1p/5np1/8/3P1B2/5N2/PPP1PPPP/RN1QKB1R b KQkq -
A45	Trompowsky Attack	1. d4 Nf6 2. Bg5	d2d4 g8f6 c1g5	rnbqkb1r/pppppppp/5n2/6B1/3P4/8/PPP1PPPP/RN1QKBNR b KQkq -
A40	Montevideo Defense	1. d4 Nc6 2. d5 Nb8	d2d4 b8c6 d4d5 c6b8	rnbqkbnr/pppppppp/8/3P4/8/8/PPP1PPPP/RNBQKBNR w KQkq -
A40	Englund Gambit Declined	1. d4 e5 2. d5	d2d4 e7e5 d4d5	rnbqkbnr/pppp1ppp/8/3Pp3/8/8/PPP1PPPP/RNBQKBNR b KQkq -
A00	Valencia Opening	1. d3 e5 2. Nd2	d2d3 e7e5 b1d2	rnbqkbnr/pppp1ppp/8/4p3/8/3P4/PPPNPPPP/R1BQKBNR b KQkq -
C44	Irish Gambit	1. e4 e5 2. Nf3 Nc6 3. Nxe5	e2e4 e7e5 g1f3 b8c6 f3e5	r1bqkbnr/pppp1ppp/2n5/4N3/4P3/8/PPPP1PPP/RNBQKB1R b KQkq -
C40	Elephant Gambit	1. e4 e5 2. Nf3 d5	e2e4 e7e5 g1f3 d7d5	rnbqkbnr/ppp2ppp/8/3pp3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq -
B07	Czech Defense	1. e4 d6 2. d4 Nf6 3. Nc3 c6	e2e4 d7d6 d2d4 g8f6 b1c3 c7c6	rnbqkb1r/pp2pppp/2pp1n2/8/3PP3/2N5/PPP2PPP/R1BQKBNR w KQkq -
B00	Pirc Defense	1. e4 d6	e2e4 d7d6	rnbqkbnr/ppp1pppp/3p4/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq -
A50	Slav Indian	1. d4 Nf6 2. c4 c6	d2d4 g8f6 c2c4 c7c6	rnbqkb1r/pp1ppppp/2p2n2/8/2PP4/8/PP2PPPP/RNBQKBNR w KQkq -
A50	Queen's Indian Accelerated	1. d4 Nf6 2. c4 b6	d2d4 g8f6 c2c4 b7b6	rnbqkb1r/p1pppppp/1p3n2/8/2PP4/8/PP2PPPP/RNBQKBNR w KQkq -
A41	Robatsch Defense	1. d4 d6 2. Nf3 g6 3. c4 Bg7 4. e4 Bg4	d2d4 d7d6 g1f3 g7g6 c2c4 f8g7 e2e4 c8g4	rn1qk1nr/ppp1ppbp/3p2p1/8/2PPP1b1/5N2/PP3PPP/RNBQKB1R w KQkq -
A41	Old Indian Defense	1. d4 d6 2. c4	d2d4 d7d6 c2c4	rnbqkbnr/ppp1pppp/3p4/8/2PP4/8/PP2PPPP/RNBQKBNR b KQkq -
A40	English Defense	1. d4 b6	d2d4 b7b6	rnbqkbnr/p1pppppp/1p6/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq -
A04	Zukertort Opening	1. Nf3	g1f3	rnbqkbnr/pppppppp/8/8/8/5N2/PPPPPPPP/RNBQKB1R b KQkq -
E61	King's Indian Defense	1. d4 Nf6 2. c4 g6 3. Nc3	d2d4 g8f6 c2c4 g7g6 b1c3	rnbqkb1r/pppppp1p/5np1/8/2PP4/2N5/PP2PPPP/R1BQKBNR b KQkq -
D10	Slav Defense	1. d4 d5 2. c4 c6	d2d4 d7d5 c2c4 c7c6	rnbqkbnr/pp2pppp/2p5/3p4/2PP4/8/PP2PPPP/RNBQKBNR w KQkq -
C40	Latvian Gambit	1. e4 e5 2. Nf3 f5	e2e4 e7e5 g1f3 f7f5	rnbqkbnr/pppp2pp/8/4pp2/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq -
B20	Sicilian Defense	1. e4 c5	e2e4 c7c5	rnbqkbnr/pp1ppppp/8/2p5/4P3/8/PPPP1PPP/RNBQKBNR w KQkq -
B01	Scandinavian Defense	1. e4 d5	e2e4 d7d5	rnbqkbnr/ppp1pppp/8/3p4/4P3/8/PPPP1PPP/RNBQKBNR w KQkq -
B00	Nimzowitsch Defense	1. e4 Nc6	e2e4 b8c6	r1bqkbnr/pppppppp/2n5/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq -
B00	Goldsmith Defense	1. e4 h5	e2e4 h7h5	rnbqkbnr/ppppppp1/8/7p/4P3/8/PPPP1PPP/RNBQKBNR w KQkq -
B00	Fried Fox Defense	1. e4 f6 2. d4 Kf7	e2e4 f7f6 d2d4 e8f7	rnbq1bnr/pppppkpp/5p2/8/3PP3/8/PPP2PPP/RNBQKBNR w KQ -
A41	Wade Defense	1. d4 d6 2. Nf3 Bg4	d2d4 d7d6 g1f3 c8g4	rn1qkbnr/ppp1pppp/3p4/8/3P2b1/5N2/PPP1PPPP/RNBQKB1R w KQkq -
A40	Australian Defense	1. d4 Na6	d2d4 b8a6	r1bqkbnr/pppppppp/n7/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq -
A10	English Opening	1. c4	c2c4	rnbqkbnr/pppppppp/8/8/2P5/8/PP1PPPPP/RNBQKBNR b KQkq -
A07	King's Indian Attack, with Bf5	1. Nf3 Nf6 2. g3 d5 3. Bg2 c6 4. O-O Bf5	g1f3 g8f6 g2g3 d7d5 f1g2 c7c6 e1g1 c8f5	rn1qkb1r/pp2pppp/2p2n2/3p1b2/8/5NP1/PPPPPPBP/RNBQ1RK1 w kq -
A00	Sodium Attack	1. Na3	b1a3	rnbqkbnr/pppppppp/8/8/8/N7/PPPPPPPP/R1BQKBNR b KQkq -
A00	Lasker Simul Special	1. g3 h5	g2g3 h7h5	rnbqkbnr/ppppppp1/8/7p/8/6P1/PPPPPP1P/RNBQKBNR w KQkq -
D80	Grünfeld Defense	1. d4 Nf6 2. c4 g6 3. Nc3 d5	d2d4 g8f6 c2c4 g7g6 b1c3 d7d5	rnbqkb1r/ppp1pp1p/5np1/3p4/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq -
D30	Queen's Gambit Declined	1. d4 d5 2. c4 e6	d2d4 d7d5 c2c4 e7e6	rnbqkbnr/ppp2ppp/4p3/3p4/2PP4/8/PP2PPPP/RNBQKBNR w KQkq -
C25	Vienna Gambit, with Max Lange Defense	1. e4 e5 2. Nc3 Nc6 3. f4	e2e4 e7e5 b1c3 b8c6 f2f4	r1bqkbnr/pppp1ppp/2n5/4p3/4PP2/2N5/PPPP2PP/R1BQKBNR b KQkq -
B00	St. George Defense	1. e4 a6	e2e4 a7a6	rnbqkbnr/1ppppppp/p7/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq -
A40	Horwitz Defense	1. d4 e6	d2d4 e7e6	rnbqkbnr/pppp1ppp/4p3/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq -
A00	Polish Opening	1. b4	b2b4	rnbqkbnr/pppppppp/8/8/1P6/8/P1PPPPPP/RNBQKBNR b KQkq -
D32	Tarrasch Defense	1. d4 d5 2. c4 e6 3. Nc3 c5	d2d4 d7d5 c2c4 e7e6 b1c3 c7c5	rnbqkbnr/pp3ppp/4p3/2pp4/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq -
D00	Blackmar-Diemer Gambit Accepted	1. d4 d5 2. e4 dxe4 3. Nc3 Nf6 4. f3 exf3	d2d4 d7d5 e2e4 d5e4 b1c3 g8f6 f2f3 e4f3	rnbqkb1r/ppp1pppp/5n2/8/3P4/2N2p2/PPP3PP/R1BQKBNR w KQkq -
C21	Danish Gambit	1. e4 e5 2. d4 exd4 3. c3	e2e4 e7e5 d2d4 e5d4 c2c3	rnbqkbnr/pppp1ppp/8/8/3pP3/2P5/PP3PPP/RNBQKBNR b KQkq -
C20	Portuguese Opening	1. e4 e5 2. Bb5	e2e4 e7e5 f1b5	rnbqkbnr/pppp1ppp/8/1B2p3/4P3/8/PPPP1PPP/RNBQK1NR b KQkq -
C20	Center Game	1. e4 e5 2. d4	e2e4 e7e5 d2d4	rnbqkbnr/pppp1ppp/8/4p3/3PP3/8/PPP2PPP/RNBQKBNR b KQkq -
A56	Benoni Defense	1. d4 Nf6 2. c4 c5	d2d4 g8f6 c2c4 c7c5	rnbqkb1r/pp1ppppp/5n2/2p5/2PP4/8/PP2PPPP/RNBQKBNR w KQkq -
A09	Réti Opening	1. Nf3 d5 2. c4	g1f3 d7d5 c2c4	rnbqkbnr/ppp1pppp/8/3p4/2P5/5N2/PP1PPPPP/RNBQKB1R b KQkq -
A05	King's Indian Attack	1. Nf3 Nf6 2. g3 d5	g1f3 g8f6 g2g3 d7d5	rnbqkb1r/ppp1pppp/5n2/3p4/8/5NP1/PPPPPP1P/RNBQKB1R w KQkq -
A01	Nimzo-Larsen Attack	1. b3	b2b3	rnbqkbnr/pppppppp/8/8/8/1P6/P1PPPPPP/RNBQKBNR b KQkq -
A00	Amar Opening	1. Nh3	g1h3	rnbqkbnr/pppppppp/8/8/8/7N/PPPPPPPP/RNBQKB1R b KQkq -
E10	Blumenfeld Countergambit	1. d4 Nf6 2. c4 e6 3. Nf3 c5 4. d5 b5	d2d4 g8f6 c2c4 e7e6 g1f3 c7c5 d4d5 b7b5	rnbqkb1r/p2p1ppp/4pn2/1ppP4/2P5/5N2/PP2PPPP/RNBQKB1R w KQkq -
D20	Queen's Gambit Accepted	1. d4 d5 2. c4 dxc4	d2d4 d7d5 c2c4 d5c4	rnbqkbnr/ppp1pppp/8/8/2pP4/8/PP2PPPP/RNBQKBNR w KQkq -
D01	Rapport-Jobava System, with e6	1. d4 d5 2. Nc3 e6 3. Bf4	d2d4 d7d5 b1c3 e7e6 c1f4	rnbqkbnr/ppp2ppp/4p3/3p4/3P1B2/2N5/PPP1PPPP/R2QKBNR b KQkq -
D00	Amazon Attack	1. d4 d5 2. Qd3	d2d4 d7d5 d1d3	rnbqkbnr/ppp1pppp/8/3p4/3P4/3Q4/PPP1PPPP/RNB1KBNR b KQkq -
C50	Italian Game	1. e4 e5 2. Nf3 Nc6 3. Bc4	e2e4 e7e5 g1f3 b8c6 f1c4	r1bqkbnr/pppp1ppp/2n5/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq -
C20	King's Pawn Opening	1. e4 e5 2. b3	e2e4 e7e5 b2b3	rnbqkbnr/pppp1ppp/8/4p3/4P3/1P6/P1PP1PPP/RNBQKBNR b KQkq -
C20	Bongcloud Attack	1. e4 e5 2. Ke2	e2e4 e7e5 e1e2	rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPPKPPP/RNBQ1BNR b kq -
A45	Canard Opening	1. d4 Nf6 2. f4	d2d4 g8f6 f2f4	rnbqkb1r/pppppppp/5n2/8/3P1P2/8/PPP1P1PP/RNBQKBNR b KQkq -
A00	Van Geet Opening	1. Nc3	b1c3	rnbqkbnr/pppppppp/8/8/8/2N5/PPPPPPPP/R1BQKBNR b KQkq -
E60	Queen's Pawn, Mengarini Attack	1. d4 Nf6 2. c4 g6 3. Qc2	d2d4 g8f6 c2c4 g7g6 d1c2	rnbqkb1r/pppppp1p/5np1/8/2PP4/8/PPQ1PPPP/RNB1KBNR b KQkq -
E20	Nimzo-Indian Defense	1. d4 Nf6 2. c4 e6 3. Nc3 Bb4	d2d4 g8f6 c2c4 e7e6 b1c3 f8b4	rnbqk2r/pppp1ppp/4pn2/8/1bPP4/2N5/PP2PPPP/R1BQKBNR w KQkq -
E12	Queen's Indian Defense	1. d4 Nf6 2. c4 e6 3. Nf3 b6	d2d4 g8f6 c2c4 e7e6 g1f3 b7b6	rnbqkb1r/p1pp1ppp/1p2pn2/8/2PP4/5N2/PP2PPPP/RNBQKB1R w KQkq -
D44	Semi-Slav Defense Accepted	1. d4 d5 2. c4 c6 3. Nf3 Nf6 4. Nc3 e6 5. Bg5 dxc4	d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 e7e6 c1g5 d5c4	rnbqkb1r/pp3ppp/2p1pn2/6B1/2pP4/2N2N2/PP2PPPP/R2QKB1R w KQkq -
D01	Rapport-Jobava System	1. d4 d5 2. Nc3 Nf6 3. Bf4	d2d4 d7d5 b1c3 g8f6 c1f4	rnbqkb1r/ppp1pppp/5n2/3p4/3P1B2/2N5/PPP1PPPP/R2QKBNR b KQkq -
C40	Gunderam Defense	1. e4 e5 2. Nf3 Qe7	e2e4 e7e5 g1f3 d8e7	rnb1kbnr/ppppqppp/8/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq -
C25	Vienna Game	1. e4 e5 2. Nc3	e2e4 e7e5 b1c3	rnbqkbnr/pppp1ppp/8/4p3/4P3/2N5/PPPP1PPP/R1BQKBNR b KQkq -
B00	Owen Defense	1. e4 b6	e2e4 b7b6	rnbqkbnr/p1pppppp/1p6/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq -
B00	King's Pawn Game	1. e4	e2e4	rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq -
B00	Duras Gambit	1. e4 f5	e2e4 f7f5	rnbqkbnr/ppppp1pp/8/5p2/4P3/8/PPPP1PPP/RNBQKBNR w KQkq -
A57	Benko Gambit Accepted	1. d4 Nf6 2. c4 c5 3. d5 b5 4. cxb5 a6	d2d4 g8f6 c2c4 c7c5 d4d5 b7b5 c4b5 a7a6	rnbqkb1r/3ppppp/p4n2/1PpP4/8/8/PP2PPPP/RNBQKBNR w KQkq -
A48	London System, with Be2	1. d4 Nf6 2. Nf3 g6 3. Bf4 Bg7 4. e3 d6 5. Be2	d2d4 g8f6 g1f3 g7g6 c1f4 f8g7 e2e3 d7d6 f1e2	rnbqk2r/ppp1ppbp/3p1np1/8/3P1B2/4PN2/PPP1BPPP/RN1QK2R b KQkq -
A48	London System, with Bd3	1. d4 Nf6 2. Nf3 g6 3. Bf4 Bg7 4. e3 d6 5. Bd3	d2d4 g8f6 g1f3 g7g6 c1f4 f8g7 e2e3 d7d6 f1d3	rnbqk2r/ppp1ppbp/3p1np1/8/3P1B2/3BPN2/PPP2PPP/RN1QK2R b KQkq -
A46	Döry Defense	1. d4 Nf6 2. Nf3 Ne4	d2d4 g8f6 g1f3 f6e4	rnbqkb1r/pppppppp/8/8/3Pn3/5N2/PPP1PPPP/RNBQKB1R w KQkq -
A45	Indian Defense	1. d4 Nf6	d2d4 g8f6	rnbqkb1r/pppppppp/5n2/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq -
A40	Queen's Pawn Game	1. d4	d2d4	rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq -
A40	Polish Defense	1. d4 b5	d2d4 b7b5	rnbqkbnr/p1pppppp/8/1p6/3P4/8/PPP1PPPP/RNBQKBNR w KQkq -
A07	King's Indian Attack, with e6	1. Nf3 Nf6 2. g3 d5 3. Bg2 e6	g1f3 g8f6 g2g3 d7d5 f1g2 e7e6	rnbqkb1r/ppp2ppp/4pn2/3p4/8/5NP1/PPPPPPBP/RNBQK2R w KQkq -
